"code", "description"
"209.26","Neuroendocrine tumors; Malignant carcinoid tumor of the midgut NOS"
"209.27","Neuroendocrine tumors; Malignant carcinoid tumor of the hindgut NOS"
"209.29","Neuroendocrine tumors; Malignant carcinoid tumors of other sites"
"209.3","Neuroendocrine tumors; Malignant poorly differentiated neuroendocrine tumors"
"209.30","Neuroendocrine tumors; Malignant poorly differentiated neuroendocrine carcinoma, any site"
"209.31","Neuroendocrine tumors; Merkel cell carcinoma of the face"
"209.32","Neuroendocrine tumors; Merkel cell carcinoma of the scalp and neck"
"209.33","Neuroendocrine tumors; Merkel cell carcinoma of the upper limb"
"209.34","Neuroendocrine tumors; Merkel cell carcinoma of the lower limb"
"209.35","Neuroendocrine tumors; Merkel cell carcinoma of the trunk"
"209.36","Neuroendocrine tumors; Merkel cell carcinoma of other sites"
"209.4","Neuroendocrine tumors; Benign carcinoid tumors of the small intestine"
"209.40","Neuroendocrine tumors; Benign carcinoid tumor of the small intestine, unspecified portion"
"209.41","Neuroendocrine tumors; Benign carcinoid tumor of the duodenum"
"209.42","Neuroendocrine tumors; Benign carcinoid tumor of the jejunum"
"209.43","Neuroendocrine tumors; Benign carcinoid tumor of the ileum"
"209.5","Neuroendocrine tumors; Benign carcinoid tumors of the appendix, large intestine, and rectum"
"209.50","Neuroendocrine tumors; Benign carcinoid tumor of the large intestine, unspecified portion"
"209.51","Neuroendocrine tumors; Benign carcinoid tumor of the appendix"
"209.52","Neuroendocrine tumors; Benign carcinoid tumor of the cecum"
"209.53","Neuroendocrine tumors; Benign carcinoid tumor of the ascending colon"
"209.54","Neuroendocrine tumors; Benign carcinoid tumor of the transverse colon"
"209.55","Neuroendocrine tumors; Benign carcinoid tumor of the descending colon"
"209.56","Neuroendocrine tumors; Benign carcinoid tumor of the sigmoid colon"
"209.57","Neuroendocrine tumors; Benign carcinoid tumor of the rectum"
"209.6","Neuroendocrine tumors; Benign carcinoid tumors of other and unspecified sites"
"209.60","Neuroendocrine tumors; Benign carcinoid tumor of unknown primary site"
"209.61","Neuroendocrine tumors; Benign carcinoid tumor of the bronchus and lung"
"209.62","Neuroendocrine tumors; Benign carcinoid tumor of the thymus"
"209.63","Neuroendocrine tumors; Benign carcinoid tumor of the stomach"
"209.64","Neuroendocrine tumors; Benign carcinoid tumor of the kidney"
"209.65","Neuroendocrine tumors; Benign carcinoid tumor of the foregut NOS"
"209.66","Neuroendocrine tumors; Benign carcinoid tumor of the midgut NOS"
"209.67","Neuroendocrine tumors; Benign carcinoid tumor of the hindgut NOS"
"209.69","Neuroendocrine tumors; Benign carcinoid tumors of other sites"
"209.7","Neuroendocrine tumors; Secondary neuroendocrine tumors"
"209.70","Neuroendocrine tumors; Secondary neuroendocrine tumor, unspecified site"
"209.71","Neuroendocrine tumors; Secondary neuroendocrine tumor of distant lymph nodes"
"209.72","Neuroendocrine tumors; Secondary neuroendocrine tumor of liver"
"209.73","Neuroendocrine tumors; Secondary neuroendocrine tumor of bone"
"209.74","Neuroendocrine tumors; Secondary neuroendocrine tumor of peritoneum"
"209.75","Neuroendocrine tumors; Secondary Merkel cell carcinoma"
"209.79","Neuroendocrine tumors; Secondary neuroendocrine tumor of other sites"
"210","Benign neoplasm of lip, oral cavity, and pharynx"
"210.0","Benign neoplasm of lip, oral cavity, and pharynx; Lip"
"210.1","Benign neoplasm of lip, oral cavity, and pharynx; Tongue"
"210.2","Benign neoplasm of lip, oral cavity, and pharynx; Major salivary glands"
"210.3","Benign neoplasm of lip, oral cavity, and pharynx; Floor of mouth"
"210.4","Benign neoplasm of lip, oral cavity, and pharynx; Other and unspecified parts of mouth"
"210.5","Benign neoplasm of lip, oral cavity, and pharynx; Tonsil"
"210.6","Benign neoplasm of lip, oral cavity, and pharynx; Other parts of oropharynx"
"210.7","Benign neoplasm of lip, oral cavity, and pharynx; Nasopharynx"
"210.8","Benign neoplasm of lip, oral cavity, and pharynx; Hypopharynx"
"210.9","Benign neoplasm of lip, oral cavity, and pharynx; Pharynx, unspecified"
"211","Benign neoplasm of other parts of digestive system"
"211.0","Benign neoplasm of other parts of digestive system; Esophagus"
"211.1","Benign neoplasm of other parts of digestive system; Stomach"
"211.2","Benign neoplasm of other parts of digestive system; Duodenum, jejunum, and ileum"
"211.3","Benign neoplasm of other parts of digestive system; Colon"
"211.4","Benign neoplasm of other parts of digestive system; Rectum and anal canal"
"211.5","Benign neoplasm of other parts of digestive system; Liver and biliary passages"
"211.6","Benign neoplasm of other parts of digestive system; Pancreas, except islets of Langerhans"
"211.7","Benign neoplasm of other parts of digestive system; Islets of Langerhans"
"211.8","Benign neoplasm of other parts of digestive system; Retroperitoneum and peritoneum"
"211.9","Benign neoplasm of other parts of digestive system; Other and unspecified site"
"212","Benign neoplasm of respiratory and intrathoracic organs"
"212.0","Benign neoplasm of respiratory and intrathoracic organs; Nasal cavities, middle ear, and accessory sinuses"
"212.1","Benign neoplasm of respiratory and intrathoracic organs; Larynx"
"212.2","Benign neoplasm of respiratory and intrathoracic organs; Trachea"
"212.3","Benign neoplasm of respiratory and intrathoracic organs; Bronchus and lung"
"212.4","Benign neoplasm of respiratory and intrathoracic organs; Pleura"
"212.5","Benign neoplasm of respiratory and intrathoracic organs; Mediastinum"
"212.6","Benign neoplasm of respiratory and intrathoracic organs; Thymus"
"212.7","Benign neoplasm of respiratory and intrathoracic organs; Heart"
"212.8","Benign neoplasm of respiratory and intrathoracic organs; Other specified sites"
"212.9","Benign neoplasm of respiratory and intrathoracic organs; Site unspecified"
"213","Benign neoplasm of bone and articular cartilage"
"213.0","Benign neoplasm of bone and articular cartilage; Bones of skull and face"
"213.1","Benign neoplasm of bone and articular cartilage; Lower jaw bone"
"213.2","Benign neoplasm of bone and articular cartilage; Vertebral column, excluding sacrum and coccyx"
"213.3","Benign neoplasm of bone and articular cartilage; Ribs, sternum, and clavicle"
"213.4","Scapula and long bones of upper limb"
"213.5","Benign neoplasm of bone and articular cartilage; Short bones of upper limb"
"213.6","Benign neoplasm of bone and articular cartilage; Pelvic bones, sacrum, and coccyx"
"213.7","Benign neoplasm of bone and articular cartilage; Long bones of lower limb"
"213.8","Benign neoplasm of bone and articular cartilage; Short bones of lower limb"
"213.9","Benign neoplasm of bone and articular cartilage; Bone and articular cartilage, site unspecified"
"214","Lipoma"
"214.0","Lipoma; Skin and subcutaneous tissue of face"
"214.1","Lipoma; Other skin and subcutaneous tissue"
"214.2","Lipoma; Intrathoracic organs"
"214.3","Lipoma; Intra-abdominal organs"
"214.4","Lipoma; Spermatic cord"
"214.8","Lipoma; Other specified sites"
"214.9","Lipoma; Lipoma, unspecified site"
"215","Other benign neoplasm of connective and other soft tissue"
"215.0","Other benign neoplasm of connective and other soft tissue; Head, face, and neck"
"215.2","Other benign neoplasm of connective and other soft tissue; Upper limb, including shoulder"
"215.3","Other benign neoplasm of connective and other soft tissue; Lower limb, including hip"
"215.4","Other benign neoplasm of connective and other soft tissue; Thorax"
"215.5","Other benign neoplasm of connective and other soft tissue; Abdomen"
"215.6","Other benign neoplasm of connective and other soft tissue; Pelvis"
"215.7","Other benign neoplasm of connective and other soft tissue; Trunk, unspecified"
"215.8","Other benign neoplasm of connective and other soft tissue; Other specified sites"
"215.9","Other benign neoplasm of connective and other soft tissue; Site unspecified"
"216","Benign neoplasm of skin"
"216.0","Benign neoplasm of skin; Skin of lip"
"216.1","Benign neoplasm of skin; Eyelid, including canthus"
"216.2","Benign neoplasm of skin; Ear and external auditory canal"
"216.3","Benign neoplasm of skin; Skin of other and unspecified parts of face"
"216.4","Benign neoplasm of skin; Scalp and skin of neck"
"216.5","Benign neoplasm of skin; Skin of trunk, except scrotum"
"216.6","Benign neoplasm of skin; Skin of upper limb, including shoulder"
"216.7","Benign neoplasm of skin; Skin of lower limb, including hip"
"216.8","Benign neoplasm of skin; Other specified sites of skin"
"216.9","Benign neoplasm of skin; Skin, site unspecified"
"217","Benign neoplasm of breast"
"218","Uterine leiomyoma"
"218.0","Uterine leiomyoma; Submucous leiomyoma of uterus"
"218.1","Uterine leiomyoma; Intramural leiomyoma of uterus"
"218.2","Uterine leiomyoma; Subserous leiomyoma of uterus"
"218.9","Uterine leiomyoma; Leiomyoma of uterus, unspecified"
"219","Other benign neoplasm of uterus"
"219.0","Other benign neoplasm of uterus; Cervix uteri"
"219.1","Other benign neoplasm of uterus; Corpus uteri"
"219.8","Other benign neoplasm of uterus; Other specified parts of uterus"
"219.9","Other benign neoplasm of uterus; Uterus, part unspecified"
"220","Benign neoplasm of ovary"
"221","Benign neoplasm of other female genital organs"
"221.0","Benign neoplasm of other female genital organs; Fallopian tube and uterine ligaments"
"221.1","Benign neoplasm of other female genital organs; Vagina"
"221.2","Benign neoplasm of other female genital organs; Vulva"
"221.8","Benign neoplasm of other female genital organs; Other specified sites of female genital organs"
"221.9","Benign neoplasm of other female genital organs; Female genital organ, site unspecified"
"222","Benign neoplasm of male genital organs"
"222.0","Benign neoplasm of male genital organs; Testis"
"222.1","Benign neoplasm of male genital organs; Penis"
"222.2","Benign neoplasm of male genital organs; Prostate"
"222.3","Benign neoplasm of male genital organs; Epididymis"
"222.4","Benign neoplasm of male genital organs; Scrotum"
"222.8","Benign neoplasm of male genital organs; Other specified sites of male genital organs"
"222.9","Benign neoplasm of male genital organs; Male genital organ, site unspecified"
"223","Benign neoplasm of kidney and other urinary organs"
"223.0","Benign neoplasm of kidney and other urinary organs; Kidney, except pelvis"
"223.1","Benign neoplasm of kidney and other urinary organs; Renal pelvis"
"223.2","Benign neoplasm of kidney and other urinary organs; Ureter"
"223.3","Benign neoplasm of kidney and other urinary organs; Bladder"
"223.8","Benign neoplasm of kidney and other urinary organs; Other specified sites of urinary organs"
"223.81","Benign neoplasm of kidney and other urinary organs; Urethra"
"223.89","Benign neoplasm of kidney and other urinary organs; Other"
"223.9","Benign neoplasm of kidney and other urinary organs; Urinary organ, site unspecified"
"224","Benign neoplasm of eye"
"224.0","Benign neoplasm of eye; Eyeball, except conjunctiva, cornea, retina, and choroid"
"224.1","Benign neoplasm of eye; Orbit"
"224.2","Benign neoplasm of eye; Lacrimal gland"
"224.3","Benign neoplasm of eye; Conjunctiva"
"224.4","Benign neoplasm of eye; Cornea"
"224.5","Benign neoplasm of eye; Retina"
"224.6","Benign neoplasm of eye; Choroid"
"224.7","Benign neoplasm of eye; Lacrimal duct"
"224.8","Benign neoplasm of eye; Other specified parts of eye"
"224.9","Benign neoplasm of eye; Eye, part unspecified"
"225","Benign neoplasm of brain and other parts of nervous system"
"225.0","Benign neoplasm of brain and other parts of nervous system; Brain"
"225.1","Benign neoplasm of brain and other parts of nervous system; Cranial nerves"
"225.2","Benign neoplasm of brain and other parts of nervous system; Cerebral meninges"
"225.3","Benign neoplasm of brain and other parts of nervous system; Spinal cord"
"225.4","Benign neoplasm of brain and other parts of nervous system; Spinal meninges"
"225.8","Benign neoplasm of brain and other parts of nervous system; Other specified sites of nervous system"
"225.9","Benign neoplasm of brain and other parts of nervous system; Nervous system, part unspecified"
"226","Benign neoplasm of thyroid glands"
"227","Benign neoplasm of other endocrine glands and related structures"
"227.0","Benign neoplasm of other endocrine glands and related structures; Adrenal gland"
"227.1","Benign neoplasm of other endocrine glands and related structures; Parathyroid gland"
"227.3","Benign neoplasm of other endocrine glands and related structures; Pituitary gland and craniopharyngeal duct (pouch)"
"227.4","Benign neoplasm of other endocrine glands and related structures; Pineal gland"
"227.5","Benign neoplasm of other endocrine glands and related structures; Carotid body"
"227.6","Benign neoplasm of other endocrine glands and related structures; Aortic body and other paraganglia"
"227.8","Benign neoplasm of other endocrine glands and related structures; Other"
"227.9","Benign neoplasm of other endocrine glands and related structures; Endocrine gland, site unspecified"
"228","Hemangioma and lymphangioma, any site"
"228.0","Hemangioma and lymphangioma, any site; Hemangioma, any site"
"228.00","Hemangioma and lymphangioma, any site; Of unspecified site"
"228.01","Hemangioma and lymphangioma, any site; Of skin and subcutaneous tissue"
"228.02","Hemangioma and lymphangioma, any site; Of intracranial structures"
"228.03","Hemangioma and lymphangioma, any site; Of retina"
"228.04","Hemangioma and lymphangioma, any site; Of intra-abdominal structures"
"228.09","Hemangioma and lymphangioma, any site; Of other sites"
"228.1","Lymphangioma, any site"
"229","Benign neoplasm of other and unspecified sites"
"229.0","Benign neoplasm of other and unspecified sites; Lymph nodes"
"229.8","Benign neoplasm of other and unspecified sites; Other specified sites"
"229.9","Benign neoplasm of other and unspecified sites; Site unspecified"
"230","Carcinoma in situ of digestive organs"
"230.0","Carcinoma in situ of digestive organs; Lip, oral cavity, and pharynx"
"230.1","Carcinoma in situ of digestive organs; Esophagus"
"230.2","Carcinoma in situ of digestive organs; Stomach"
"230.3","Carcinoma in situ of digestive organs; Colon"
"230.4","Carcinoma in situ of digestive organs; Rectum"
"230.5","Carcinoma in situ of digestive organs; Anal canal"
"230.6","Carcinoma in situ of digestive organs; Anus, unspecified"
"230.7","Carcinoma in situ of digestive organs; Other and unspecified parts of intestine"
"230.8","Carcinoma in situ of digestive organs; Liver and biliary system"
"230.9","Carcinoma in situ of digestive organs; Other and unspecified digestive organs"
"231","Carcinoma in situ of respiratory system"
"231.0","Carcinoma in situ of respiratory system; Larynx"
"231.1","Carcinoma in situ of respiratory system; Trachea"
"231.2","Carcinoma in situ of respiratory system; Bronchus and lung"
"231.8","Carcinoma in situ of respiratory system; Other specified parts of respiratory system"
"231.9","Carcinoma in situ of respiratory system; Respiratory system, part unspecified"
"232","Carcinoma in situ of skin"
"232.0","Carcinoma in situ of skin; Skin of lip"
"232.1","Carcinoma in situ of skin; Eyelid, including canthus"
"232.2","Carcinoma in situ of skin; Ear and external auditory canal"
"232.3","Carcinoma in situ of skin; Skin of other and unspecified parts of face"
"232.4","Carcinoma in situ of skin; Scalp and skin of neck"
"232.5","Carcinoma in situ of skin; Skin of trunk, except scrotum"
"232.6","Carcinoma in situ of skin; Skin of upper limb, including shoulder"
"232.7","Carcinoma in situ of skin; Skin of lower limb, including hip"
"232.8","Carcinoma in situ of skin; Other specified sites of skin"
"232.9","Carcinoma in situ of skin; Skin, site unspecified"
"233","Carcinoma in situ of breast and genitourinary system"
"233.0","Carcinoma in situ of breast and genitourinary system; Breast"
"233.1","Carcinoma in situ of breast and genitourinary system; Cervix uteri"
"233.2","Carcinoma in situ of breast and genitourinary system; Other and unspecified parts of uterus"
"233.3","Carcinoma in situ of breast and genitourinary system; Other and unspecified female genital organs"
"233.30","Carcinoma in situ of breast and genitourinary system; Unspecified female genital organ"
"233.31","Carcinoma in situ of breast and genitourinary system; Vagina "
"233.32","Carcinoma in situ of breast and genitourinary system; Vulva"
"233.39","Carcinoma in situ of breast and genitourinary system; Other female genital organ"
"233.4","Carcinoma in situ of breast and genitourinary system; Prostate"
"233.5","Carcinoma in situ of breast and genitourinary system; Penis"
"233.6","Carcinoma in situ of breast and genitourinary system; Other and unspecified male genital organs"
"233.7","Carcinoma in situ of breast and genitourinary system; Bladder"
"233.9","Carcinoma in situ of breast and genitourinary system; Other and unspecified urinary organs"
"234","Carcinoma in situ of other and unspecified sites"
"234.0","Carcinoma in situ of other and unspecified sites; Eye"
"234.8","Carcinoma in situ of other and unspecified sites; Other specified sites"
"234.9","Carcinoma in situ of other and unspecified sites; Site unspecified"
"235","Neoplasm of uncertain behavior of digestive and respiratory systems"
"235.0","Neoplasm of uncertain behavior of digestive and respiratory systems; Major salivary glands"
"235.1","Neoplasm of uncertain behavior of digestive and respiratory systems; Lip, oral cavity, and pharynx"
"235.2","Neoplasm of uncertain behavior of digestive and respiratory systems; Stomach, intestines, and rectum"
"235.3","Neoplasm of uncertain behavior of digestive and respiratory systems; Liver and biliary passages"
"235.4","Neoplasm of uncertain behavior of digestive and respiratory systems; Retroperitoneum and peritoneum"
"235.5","Neoplasm of uncertain behavior of digestive and respiratory systems; Other and unspecified digestive organs"
"235.6","Neoplasm of uncertain behavior of digestive and respiratory systems; Larynx"
"235.7","Neoplasm of uncertain behavior of digestive and respiratory systems; Trachea, bronchus, and lung"
"235.8","Neoplasm of uncertain behavior of digestive and respiratory systems; Pleura, thymus, and mediastinum"
"235.9","Neoplasm of uncertain behavior of digestive and respiratory systems; Other and unspecified respiratory organs"
"236","Neoplasm of uncertain behavior of genitourinary organs"
"236.0","Neoplasm of uncertain behavior of genitourinary organs; Uterus"
"236.1","Neoplasm of uncertain behavior of genitourinary organs; Placenta"
"236.2","Neoplasm of uncertain behavior of genitourinary organs; Ovary"
"236.3","Neoplasm of uncertain behavior of genitourinary organs; Other and unspecified female genital organs"
"236.4","Neoplasm of uncertain behavior of genitourinary organs; Testis"
"236.5","Neoplasm of uncertain behavior of genitourinary organs; Prostate"
"236.6","Neoplasm of uncertain behavior of genitourinary organs; Other and unspecified male genital organs"
"236.7","Neoplasm of uncertain behavior of genitourinary organs; Bladder"
"236.9","Neoplasm of uncertain behavior of genitourinary organs; Other and unspecified urinary organs"
"236.90","Neoplasm of uncertain behavior of genitourinary organs; Urinary organ, unspecified"
"236.91","Neoplasm of uncertain behavior of genitourinary organs; Kidney and ureter"
"236.99","Neoplasm of uncertain behavior of genitourinary organs; Other"
"237","Neoplasm of uncertain behavior of endocrine glands and nervous system"
"237.0","Neoplasm of uncertain behavior of endocrine glands and nervous system; Pituitary gland and craniopharyngeal duct"
"237.1","Neoplasm of uncertain behavior of endocrine glands and nervous system; Pineal gland"
"237.2","Neoplasm of uncertain behavior of endocrine glands and nervous system; Adrenal gland"
"237.3","Neoplasm of uncertain behavior of endocrine glands and nervous system; Paraganglia"
"237.4","Neoplasm of uncertain behavior of endocrine glands and nervous system; Other and unspecified endocrine glands"
"237.5","Neoplasm of uncertain behavior of endocrine glands and nervous system; Brain and spinal cord"
"237.6","Neoplasm of uncertain behavior of endocrine glands and nervous system; Meninges"
"237.7","Neoplasm of uncertain behavior of endocrine glands and nervous system; Neurofibromatosis"
"237.70","Neoplasm of uncertain behavior of endocrine glands and nervous system; Neurofibromatosis, unspecified"
"237.71","Neoplasm of uncertain behavior of endocrine glands and nervous system; Neurofibromatosis, type 1 [von Recklinghausen's disease]"
"237.72","Neoplasm of uncertain behavior of endocrine glands and nervous system; Neurofibromatosis, type 2 [acoustic neurofibromatosis]"
"237.73","Neoplasm of uncertain behavior of endocrine glands and nervous system; Schwannomatosis"
"237.79","Neoplasm of uncertain behavior of endocrine glands and nervous system; Other neurofibromatosis"
"237.9","Neoplasm of uncertain behavior of endocrine glands and nervous system; Other and unspecified parts of nervous system"
"238","Neoplasm of uncertain behavior of other and unspecified sites and tissues"
"238.0","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Bone and articular cartilage"
"238.1","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Connective and other soft tissue"
"238.2","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Skin"
"238.3","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Breast"
"238.4","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Polycythemia vera"
"238.5","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Histiocytic and mast cells"
"238.6","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Plasma cells"
"238.7","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Other lymphatic and hematopoietic tissues"
"238.71","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Essential thrombocythemia"
"238.72","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Low grade myelodysplastic syndrome lesions"
"238.73","Neoplasm of uncertain behavior of other and unspecified sites and tissues; High grade myelodysplastic syndrome lesions"
"238.74","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Myelodysplastic syndrome with 5q deletion"
"238.75","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Myelodysplastic syndrome, unspecified"
"238.76","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Myelofibrosis with myeloid metaplasia"
"238.77","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Post-transplant lymphoproliferative disorder (PTLD)"
"238.79","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Other lymphatic and hematopoietic tissues"
"238.8","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Other specified sites"
"238.9","Neoplasm of uncertain behavior of other and unspecified sites and tissues; Site unspecified"
"239","Neoplasms of unspecified nature"
"239.0","Neoplasms of unspecified nature; Digestive system"
"239.1","Neoplasms of unspecified nature; Respiratory system"
"239.2","Neoplasms of unspecified nature; Bone, soft tissue, and skin"
"239.3","Neoplasms of unspecified nature; Breast"
"239.4","Neoplasms of unspecified nature; Bladder"
"239.5","Neoplasms of unspecified nature; Other genitourinary organs"
"239.6","Neoplasms of unspecified nature; Brain"
"239.7","Neoplasms of unspecified nature; Endocrine glands and other parts of nervous system"
"239.8","Neoplasms of unspecified nature; Other specified sites"
"239.81","Neoplasms of unspecified nature; Retina and choroid"
"239.89","Neoplasms of unspecified nature; Other specified sites"
"239.9","Neoplasms of unspecified nature; Site unspecified"
"240","Simple and unspecified goiter"
"240.0","Simple and unspecified goiter; Goiter, specified as simple"
"240.9","Simple and unspecified goiter; Goiter, unspecified"
"241","Nontoxic nodular goiter"
"241.0","Nontoxic uninodular goiter"
"241.1","Nontoxic multinodular goiter"
"241.9","Nontoxic nodular goiter; Unspecified nontoxic nodular goiter"
"242","Thyrotoxicosis with or without goiter"
"242.0","Thyrotoxicosis with or without goiter; Toxic diffuse goiter"
"242.00","Thyrotoxicosis with or without goiter; Toxic diffuse goiter, without mention of thyrotoxic crisis or storm"
"242.01","Thyrotoxicosis with or without goiter; Toxic diffuse goiter, with mention of thyrotoxic crisis or storm"
"242.1","Thyrotoxicosis with or without goiter; Toxic uninodular goiter"
"242.10","Thyrotoxicosis with or without goiter; Toxic uninodular goiter, without mention of thyrotoxic crisis or storm"
"242.11","Thyrotoxicosis with or without goiter; Toxic uninodular goiter, with mention of thyrotoxic crisis or storm"
"242.2","Thyrotoxicosis with or without goiter; Toxic multinodular goiter"
"242.20","Thyrotoxicosis with or without goiter; Toxic multinodular goiter, without mention of thyrotoxic crisis or storm"
"242.21","Thyrotoxicosis with or without goiter; Toxic multinodular goiter, with mention of thyrotoxic crisis or storm"
"242.3","Thyrotoxicosis with or without goiter; Toxic nodular goiter, unspecified"
"242.30","Thyrotoxicosis with or without goiter; Toxic nodular goiter, unspecified, without mention of thyrotoxic crisis or storm"
"242.31","Thyrotoxicosis with or without goiter; Toxic nodular goiter, unspecified, with mention of thyrotoxic crisis or storm"
"242.4","Thyrotoxicosis with or without goiter; Thyrotoxicosis from ectopic thyroid nodule"
"242.40","Thyrotoxicosis with or without goiter; Thyrotoxicosis from ectopic thyroid nodule, without mention of thyrotoxic crisis or storm"
"242.41","Thyrotoxicosis with or without goiter; Thyrotoxicosis from ectopic thyroid nodule, with mention of thyrotoxic crisis or storm"
"242.8","Thyrotoxicosis with or without goiter; Thyrotoxicosis of other specified origin"
"242.80","Thyrotoxicosis with or without goiter; Thyrotoxicosis of other specified origin, without mention of thyrotoxic crisis or storm"
"242.81","Thyrotoxicosis with or without goiter; Thyrotoxicosis of other specified origin, with mention of thyrotoxic crisis or storm"
"242.9","Thyrotoxicosis with or without goiter; Thyrotoxicosis without mention of goiter or other cause"
"242.90","Thyrotoxicosis with or without goiter; Thyrotoxicosis without mention of goiter or other cause, without mention of thyrotoxic crisis or storm"
"242.91","Thyrotoxicosis with or without goiter; Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm"
"243","Congenital hypothyroidism"
"244","Acquired hypothyroidism"
"244.0","Acquired hypothyroidism; Postsurgical hypothyroidism"
"244.1","Acquired hypothyroidism; Other postablative hypothyroidism"
"244.2","Acquired hypothyroidism; Iodine hypothyroidism"
"244.3","Acquired hypothyroidism; Other iatrogenic hypothyroidism"
"244.8","Other specified acquired hypothyroidism"
"244.9","Acquired hypothyroidism; Unspecified hypothyroidism"
"245","Thyroiditis"
"245.0","Thyroiditis; Acute thyroiditis"
"245.1","Thyroiditis; Subacute thyroiditis"
"245.2","Thyroiditis; Chronic lymphocytic thyroiditis"
"245.3","Thyroiditis; Chronic fibrous thyroiditis"
"245.4","Thyroiditis; Iatrogenic thyroiditis"
"245.8","Thyroiditis; Other and unspecified chronic thyroiditis"
"245.9","Thyroiditis; Thyroiditis, unspecified"
"246","Other disorders of thyroid"
"246.0","Other disorders of thyroid; Disorders of thyrocalcitonin secretion"
"246.1","Other disorders of thyroid; Dyshormonogenic goiter"
"246.2","Other disorders of thyroid; Cyst of thyroid"
"246.3","Other disorders of thyroid; Hemorrhage and infarction of thyroid"
"246.8","Other disorders of thyroid; Other specified disorders of thyroid"
"246.9","Other disorders of thyroid; Unspecified disorder of thyroid"
"249","Secondary diabetes mellitus"
"249.0","Secondary diabetes mellitus; Secondary diabetes mellitus without mention of complication"
"249.00","Secondary diabetes mellitus; Secondary diabetes mellitus without mention of complication, not stated as uncontrolled"
"249.01","Secondary diabetes mellitus; Secondary diabetes mellitus without mention of complication, uncontrolled"
"249.1","Secondary diabetes mellitus; Secondary diabetes mellitus with ketoacidosis"
"249.10","Secondary diabetes mellitus; Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled"
"249.11","Secondary diabetes mellitus; Secondary diabetes mellitus with ketoacidosis, uncontrolled"
"249.2","Secondary diabetes mellitus; Secondary diabetes mellitus with hyperosmolarity"
"249.20","Secondary diabetes mellitus; Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled"
"249.21","Secondary diabetes mellitus; Secondary diabetes mellitus with hyperosmolarity, uncontrolled"
"249.3","Secondary diabetes mellitus; Secondary diabetes mellitus with other coma"
"249.30","Secondary diabetes mellitus; Secondary diabetes mellitus with other coma, not stated as uncontrolled"
"249.31","Secondary diabetes mellitus; Secondary diabetes mellitus with other coma, uncontrolled"
"249.4","Secondary diabetes mellitus; Secondary diabetes mellitus with renal manifestations"
"249.40","Secondary diabetes mellitus; Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled"
"249.41","Secondary diabetes mellitus; Secondary diabetes mellitus with renal manifestations, uncontrolled"
"249.5","Secondary diabetes mellitus; Secondary diabetes mellitus with ophthalmic manifestations"
"249.50","Secondary diabetes mellitus; Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled"
"249.51","Secondary diabetes mellitus; Secondary diabetes mellitus with ophthalmic manifestations, uncontrolled"
"249.6","Secondary diabetes mellitus; Secondary diabetes mellitus with neurological manifestations"
"249.60","Secondary diabetes mellitus; Secondary diabetes mellitus with neurological manifestations, not stated as uncontrolled"
"249.61","Secondary diabetes mellitus; Secondary diabetes mellitus with neurological manifestations, uncontrolled"
"249.7","Secondary diabetes mellitus; Secondary diabetes mellitus with peripheral circulatory disorders"
"249.70","Secondary diabetes mellitus; Secondary diabetes mellitus with peripheral circulatory disorders, not stated as uncontrolled"
"249.71","Secondary diabetes mellitus; Secondary diabetes mellitus with peripheral circulatory disorders, uncontrolled"
"249.8","Secondary diabetes mellitus; Secondary diabetes mellitus with other specified manifestations"
"249.80","Secondary diabetes mellitus; Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled"
"249.81","Secondary diabetes mellitus; Secondary diabetes mellitus with other specified manifestations, uncontrolled"
"249.9","Secondary diabetes mellitus; Secondary diabetes mellitus with unspecified complication"
"249.90","Secondary diabetes mellitus; Secondary diabetes mellitus with unspecified complication, not stated as uncontrolled"
"249.91","Secondary diabetes mellitus; Secondary diabetes mellitus with unspecified complication, uncontrolled"
"250","Diabetes mellitus"
"250.0","Diabetes mellitus; Diabetes mellitus without mention of complication"
"250.00","Diabetes mellitus; Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"250.01","Diabetes mellitus; Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
